z,x,y,before_feature_coordinate_count,before_overflow,before_coordinate_count,before_tile_bytes,after_feature_coordinate_count,after_overflow,after_coordinate_count,after_coordinate_count_unbounded,after_truncated,after_feature_count,after_tile_bytes,after_seconds
6,50,26,4609,0,17354,49198,6613,0,30400,30400,False,12,82107,0.693
6,50,27,464,0,1060,3118,1163,0,2223,2223,False,4,5886,0.062
6,50,28,0,0,0,0,0,0,0,0,False,0,0,0.004
6,51,20,0,0,0,0,0,0,0,0,False,0,0,0.004
6,51,21,0,0,0,0,0,0,0,0,False,0,0,0.004
6,51,22,0,0,0,0,0,0,0,0,False,0,0,0.004
6,51,23,1462,0,2036,5953,2741,0,4777,4777,False,4,13221,0.110
6,51,24,4181,0,14956,44001,6801,0,30815,30815,False,19,86156,0.717
6,51,25,4320,0,21860,61834,8072,0,41417,41417,False,20,112079,0.969
6,51,26,2404,0,18083,53187,6871,0,35739,35739,False,28,99965,0.744
6,51,27,2120,0,8310,24802,3699,0,16207,16207,False,15,46314,0.317
6,51,28,0,0,0,0,0,0,0,0,False,0,0,0.005
6,52,20,0,0,0,0,0,0,0,0,False,0,0,0.004
6,52,21,0,0,0,0,0,0,0,0,False,0,0,0.004
6,52,22,0,0,0,0,0,0,0,0,False,0,0,0.004
6,52,23,1776,0,4173,12680,1991,0,8320,8320,False,9,23877,0.178
6,52,24,3860,0,28957,87568,8562,0,56354,56354,False,27,164813,1.085
6,52,25,6034,0,19471,55820,10126,0,39827,39827,False,21,108474,0.998
6,52,26,3150,0,12086,34573,7440,0,25232,25232,False,20,67230,0.620
6,52,27,2685,0,7301,20963,3485,0,13101,13101,False,8,35575,0.297
6,52,28,0,0,0,0,0,0,0,0,False,0,0,0.005
6,53,20,0,0,0,0,0,0,0,0,False,0,0,0.004
6,53,21,1174,0,2520,6956,1797,0,4317,4317,False,4,11257,0.119
6,53,22,4395,0,8646,23456,8199,0,16894,16894,False,5,43822,0.463
6,53,23,7518,0,18240,49585,14395,0,35590,35590,False,14,92943,0.947
6,53,24,1132,0,4271,12964,3333,0,10487,10487,False,19,29752,0.238
6,53,25,1307,0,2604,7764,2322,0,5538,5538,False,8,15101,0.155
6,53,26,200,0,634,2320,258,0,1208,1208,False,8,3839,0.033
6,53,27,0,0,0,0,0,0,0,0,False,0,0,0.004
6,53,28,0,0,0,0,0,0,0,0,False,0,0,0.004
6,54,20,0,0,0,0,0,0,0,0,False,0,0,0.004
6,54,21,2233,0,5562,14795,3710,0,9272,9272,False,4,23656,0.249
6,54,22,3776,0,15298,41132,8064,0,30390,30390,False,10,78336,0.808
6,54,23,2929,0,13941,37703,4985,0,26820,26820,False,19,68951,0.710
6,54,24,1418,0,2567,7112,2312,0,5073,5073,False,7,13205,0.135
6,54,25,0,0,0,0,0,0,0,0,False,0,0,0.004
6,54,26,0,0,0,0,0,0,0,0,False,0,0,0.004
6,54,27,0,0,0,0,0,0,0,0,False,0,0,0.004
6,54,28,0,0,0,0,0,0,0,0,False,0,0,0.004
6,55,20,0,0,0,0,0,0,0,0,False,0,0,0.004
6,55,21,0,0,0,0,0,0,0,0,False,0,0,0.004
6,55,22,2158,0,4156,11376,3999,0,8155,8155,False,4,20973,0.227
6,55,23,212,0,486,1666,380,0,866,866,False,4,2639,0.029
6,55,24,0,0,0,0,0,0,0,0,False,0,0,0.004
6,55,25,0,0,0,0,0,0,0,0,False,0,0,0.004
6,55,26,0,0,0,0,0,0,0,0,False,0,0,0.004
6,55,27,0,0,0,0,0,0,0,0,False,0,0,0.004
6,55,28,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,46,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,47,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,48,1726,0,3504,9022,3714,0,7218,7218,False,4,17842,0.157
7,90,49,299,0,611,1883,869,0,1480,1480,False,4,3969,0.035
7,90,50,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,51,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,52,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,53,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,54,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,90,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,46,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,47,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,48,2278,0,7137,17503,5948,0,13085,13085,False,5,31038,0.242
7,91,49,1020,0,1315,3680,1660,0,3179,3179,False,6,8147,0.068
7,91,50,863,0,1565,4085,1402,0,2967,2967,False,4,6969,0.065
7,91,51,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,52,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,53,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,54,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,91,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,46,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,47,912,0,1842,4792,1136,0,3198,3198,False,7,7628,0.069
7,92,48,70,0,70,393,70,0,112,112,False,2,555,0.006
7,92,49,944,0,2718,6895,2781,0,5499,5499,False,5,12906,0.106
7,92,50,1807,0,3814,9584,2970,0,6784,6784,False,5,15478,0.143
7,92,51,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,52,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,53,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,54,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,92,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,46,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,47,3607,0,7206,16982,5300,0,12506,12506,False,5,27917,0.244
7,93,48,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,49,236,0,252,1014,236,0,330,330,False,3,1306,0.009
7,93,50,402,0,640,2186,496,0,1169,1169,False,5,3666,0.021
7,93,51,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,52,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,53,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,54,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,93,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,46,0,0,0,0,0,0,0,0,False,0,0,0.005
7,94,47,0,0,0,0,0,0,0,0,False,0,0,0.012
7,94,48,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,49,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,50,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,51,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,52,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,53,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,54,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,94,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,46,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,47,0,0,0,0,0,0,0,0,False,0,0,0.006
7,95,48,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,49,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,50,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,51,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,52,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,53,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,54,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,95,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,42,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,43,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,44,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,45,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,46,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,47,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,48,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,49,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,50,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,51,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,52,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,53,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,54,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,55,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,56,0,0,0,0,0,0,0,0,False,0,0,0.004
7,96,57,0,0,0,0,0,0,0,0,False,0,0,0.004
7,97,41,0,0,0,0,0,0,0,0,False,0,0,0.004
7,97,42,0,0,0,0,0,0,0,0,False,0,0,0.004
